team_id,inaugural_season,most_recent_season
ANA,2007,2025
MDA,1994,2006
BOS,1981,2025
BUF,1981,2025
CGY,1981,2025
CAR,1998,2025
HAR,1981,1997
CHI,1987,2025
CBH,1981,1986
COL,1996,2025
QUE,1981,1995
CBJ,2001,2025
DAL,1994,2025
MNS,1981,1993
DET,1981,2025
EDM,1981,2025
FLA,1994,2025
LAK,1981,2025
MIN,2001,2025
MTL,1981,2025
NSH,1999,2025
NJD,1983,2025
CLR,1981,1982
NYI,1981,2025
NYR,1981,2025
OTT,1993,2025
PHI,1981,2025
PIT,1981,2025
SJS,1992,2025
SEA,2022,2025
STL,1981,2025
TBL,1993,2025
TOR,1981,2025
UTA,2025,2025
VAN,1981,2025
VEG,2018,2025
WSH,1981,2025
WPG,2012,2025
ATL,2000,2011
WIN,1981,1996
PHX,1997,2014
ARI,2015,2024